Bank-leitzahl,Bezeichnung,Ort,BIC
20080094,Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 10,Hamburg,DRESDEFFJ36
20080095,Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 11,Hamburg,DRESDEFFJ37
20089200,Commerzbank vormals Dresdner Bank ITGK,Hamburg,DRESDEFFI06
20090400,Deutsche Genossenschafts-Hypothekenbank,Hamburg,DGHYDEH1XXX
20090500,netbank,Hamburg,GENODEF1S15
20090602,apoBank,Hamburg,DAAEDED1002
20090700,Edekabank,Hamburg,EDEKDEHHXXX
20090745,EBANK Gf Cash,Hamburg,EDEKDEHHXXX
20090900,PSD Bank Nord,Hamburg,GENODEF1P08
20110022,Postbank (Spar),Hamburg,PBNKDEFFXXX
20110700,Bank of Tokyo-Mitsubishi UFJ, The -,Hamburg,BOTKDEH1XXX
20110800,Bank of China Fil Hamburg,Hamburg,BKCHDEFFHMB
20120000,Joh. Berenberg, Gossler & Co,Hamburg,BEGODEHHXXX
20120100,M.M.Warburg & CO,Hamburg,WBWCDEHHXXX
20120200,BHF-BANK,Hamburg,BHFBDEFF200
20120400,Deutscher Ring Bausparkasse,Hamburg,DRBKDEH1XXX
20120600,Goyer & Göppel,Hamburg,GOGODEH1XXX
20120700,Hanseatic Bank,Hamburg,HSTBDEHHXXX
20130400,GRENKE BANK,Baden-Baden,GREBDEH1XXX
20130600,Barclaycard Barclays Bank,Hamburg,BARCDEHAXXX
20133300,Santander Consumer Bank,Hamburg,SCFBDE33XXX
20190003,Hamburger Volksbank,Hamburg,GENODEF1HH2
20190109,Volksbank Stormarn,Bad Oldesloe,GENODEF1HH4
20190206,Volksbank Hamburg Ost-West -alt-,Hamburg,GENODEF1HH1
20190301,Vierländer Volksbank,Hamburg,GENODEF1HH3
20190800,MKB Mittelstandskreditbank,Hamburg,GENODEF1MKB
20210200,Bank Melli Iran,Hamburg,MELIDEHHXXX
20220100,DNB Bank ASA - Filiale Deutschland,Hamburg,DNBADEHXXXX
20220400,Warburg, M.M. - Hypothekenbank,Hamburg,MMWHDEH1XXX
20230300,Schröder, Otto M. - Bank,Hamburg,OSCBDEH1XXX
20230600,Isbank Fil Hamburg,Hamburg,ISBKDEFXHAM
20230800,Max Heinr. Sutor,Hamburg,MHSBDEHBXXX
20310300,Europäisch-Iranische Handelsbank,Hamburg,EIHBDEHHXXX
20320500,Danske Bank,Hamburg,DABADEHHXXX
20690500,Sparda-Bank Hamburg,Hamburg,GENODEF1S11
20730001,UniCredit Bank - HVB Settlement EAC01,Hamburg,HYVEDEMME01
20730002,UniCredit Bank - HVB Settlement EAC02,Hamburg,HYVEDEMME02
20730003,UniCredit Bank - HVB Settlement EAC03,Hamburg,HYVEDEMME03
20730004,UniCredit Bank - HVB Settlement EAC04,Hamburg,HYVEDEMME04
20730005,UniCredit Bank - HVB Settlement EAC05,Hamburg,HYVEDEMME05
20730006,UniCredit Bank - HVB Settlement EAC06,Hamburg,HYVEDEMME06
20730007,UniCredit Bank - HVB Settlement EAC07,Hamburg,HYVEDEMME07
20730008,UniCredit Bank - HVB Settlement EAC08,Hamburg,HYVEDEMME08
20730009,UniCredit Bank - HVB Settlement EAC09,Hamburg,HYVEDEMME09
20730010,UniCredit Bank - HVB Settlement EAC10,Hamburg,HYVEDEMME10
20730011,UniCredit Bank - HVB Settlement EAC11,Hamburg,HYVEDEMME11
20730012,UniCredit Bank - HVB Settlement EAC12,Hamburg,HYVEDEMME12
20730013,UniCredit Bank - HVB Settlement EAC13,Hamburg,HYVEDEMME13
20730014,UniCredit Bank - HVB Settlement EAC14,Hamburg,HYVEDEMME14
20730015,UniCredit Bank - HVB Settlement EAC15,Hamburg,HYVEDEMME15
20730016,UniCredit Bank - HVB Settlement EAC16,Hamburg,HYVEDEMME16
20730017,UniCredit Bank - HVB Settlement EAC17,Hamburg,HYVEDEMME17
20730018,UniCredit Bank - HVB Settlement EAC18,Hamburg,HYVEDEMME18
20730019,UniCredit Bank - HVB Settlement EAC19,Hamburg,HYVEDEMME19
20730020,UniCredit Bank - HVB Settlement EAC20,Hamburg,HYVEDEMME20
20730021,UniCredit Bank - HVB Settlement EAC21,Hamburg,HYVEDEMME21
20730022,UniCredit Bank - HVB Settlement EAC22,Hamburg,HYVEDEMME22
20730023,UniCredit Bank - HVB Settlement EAC23,Hamburg,HYVEDEMME23
20730024,UniCredit Bank - HVB Settlement EAC24,Hamburg,HYVEDEMME24
20730025,UniCredit Bank - HVB Settlement EAC25,Hamburg,HYVEDEMME25
20730026,UniCredit Bank - HVB Settlement EAC26,Hamburg,HYVEDEMME26
20730027,UniCredit Bank - HVB Settlement EAC27,Hamburg,HYVEDEMME27
20730028,UniCredit Bank - HVB Settlement EAC28,Hamburg,HYVEDEMME28
20730029,UniCredit Bank - HVB Settlement EAC29,Hamburg,HYVEDEMME29
20730030,UniCredit Bank - HVB Settlement EAC30,Hamburg,HYVEDEMME30
20730031,UniCredit Bank - HVB Settlement EAC31,Hamburg,HYVEDEMME31
20730032,UniCredit Bank - HVB Settlement EAC32,Hamburg,HYVEDEMME32
20730033,UniCredit Bank - HVB Settlement EAC33,Hamburg,HYVEDEMME33
20730034,UniCredit Bank - HVB Settlement EAC34,Hamburg,HYVEDEMME34
20730035,UniCredit Bank - HVB Settlement EAC35,Hamburg,HYVEDEMME35
