Bank-leitzahl,Bezeichnung,Ort,BIC
51850079,Sparkasse Oberhessen,Friedberg (Hessen),HELADEF1FRI
51861325,BVB Volksbank Ndl d Frankfurter Volksbank,Bad Vilbel,GENODEF1BVB
51861403,Volksbank Butzbach,Butzbach,GENODE51BUT
51861616,Landbank Horlofftal,Reichelsheim (Wetterau),GENODE51REW
51861806,Volksbank Ober-Mörlen,Ober-Mörlen,GENODE51OBM
51961023,Volksbank Ulrichstein,Ulrichstein,GENODE51ULR
51961515,Spar- und Darlehnskasse Stockhausen,Herbstein,GENODE51HSH
51961801,Volksbank Feldatal,Feldatal,GENODE51FEL
51990000,Volksbank Lauterbach-Schlitz,Lauterbach (Hessen),GENODE51LB1
52010111,SEB,Kassel,ESSEDE5F520
52040021,Commerzbank,Kassel,COBADEFFXXX
52050000,Landeskreditkasse Kassel,Kassel,HELADEFF520
52050353,Kasseler Sparkasse,Kassel,HELADEF1KAS
52051373,Stadtsparkasse Borken (Hessen),Borken (Hessen),HELADEF1BOR
52051555,Stadtsparkasse Felsberg,Felsberg,HELADEF1FEL
52051877,Stadtsparkasse Grebenstein,Grebenstein,HELADEF1GRE
52052154,Kreissparkasse Schwalm-Eder,Melsungen,HELADEF1MEG
52053458,Stadtsparkasse Schwalmstadt,Schwalmstadt,HELADEF1SWA
52060000,DZ BANK,Kassel,GENODEFF520
52060208,Kurhessische Landbank,Kassel,GENODEF1KS2
52060400,Evangelische Bank Gf,Kassel,EKKBDE52XXX
52060410,Evangelische Bank,Kassel,GENODEF1EK1
52061303,Raiffeisenbank Borken,Borken (Hessen),GENODEF1BOR
52062200,VR-Bank Chattengau,Gudensberg,GENODEF1GUB
52062601,VR-Bank Schwalm-Eder,Homberg,GENODEF1HRV
52063369,VR-Bank Spangenberg-Morschen,Spangenberg,GENODEF1SPB
52063550,Raiffeisenbank,Wolfhagen,GENODEF1WOH
52064156,Raiffeisenbank,Baunatal,GENODEF1BTA
52065220,Raiffeisenbank,Calden,GENODEF1CAL
52069013,Raiffeisenbank Burghaun,Burghaun,GENODEF1BHN
52069029,Spar-u. Kredit-Bank,Gemünden (Wohra),GENODEF1GMD
52069065,Raiffeisenbank Langenschwarz,Burghaun,GENODEF1BUR
52069103,Raiffeisenbank Trendelburg -alt-,Trendelburg,GENODEF1TBG
52069149,Raiffeisenbank Volkmarsen,Volkmarsen,GENODEF1VLM
52069519,Frankenberger Bank Raiffeisenbank,Frankenberg (Eder),GENODEF1FBK
52070012,Deutsche Bank,Kassel,DEUTDEFF520
52070024,Deutsche Bank Privat und Geschäftskunden,Kassel,DEUTDEDB520
52071212,Deutsche Bank,Bad Wildungen,DEUTDEFF521
52071224,Deutsche Bank Privat und Geschäftskunden,Bad Wildungen,DEUTDEDB521
52080080,Commerzbank vormals Dresdner Bank,Kassel,DRESDEFF520
52080085,Commerzbank vormals Dresdner Bank, PCC DCC-ITGK1,Kassel,DRESDEFFJ19
52090000,Kasseler Bank,Kassel,GENODE51KS1
52090611,apoBank,Kassel,DAAEDED1011
52240006,Commerzbank,Eschwege,COBADEFFXXX
52250030,Sparkasse Werra-Meißner,Eschwege,HELADEF1ESW
52260385,VR-Bank Werra-Meißner,Eschwege,GENODEF1ESW
52270012,Deutsche Bank,Eschwege,DEUTDEFF522
52270024,Deutsche Bank Privat und Geschäftskunden,Eschwege,DEUTDEDB522
52350005,Sparkasse Waldeck-Frankenberg,Korbach,HELADEF1KOR
52360059,Waldecker Bank,Korbach,GENODEF1KBW
52410300,ReiseBank,Frankfurt am Main,RBAGDEF1XXX
52410310,ReiseBank Gf2,Frankfurt am Main,RBAGDEF1CMI
52410400,KEB Hana Bank (Deutschland),Frankfurt am Main,KOEXDEFAXXX
52410900,Maple Bank,Frankfurt am Main,MPBKDEFFXXX
52411000,Cash Express Gesellschaft f Finanz-u Reisedienstleistungen,Frankfurt am Main,CAGBDEF1XXX
52411010,Cash Express Gesellschaft f.Finanz-u.Reisedienstleistungen,Frankfurt am Main,CAGBDEF1CMI
52420000,Credit Agricole CIB Deutschland,Frankfurt am Main,BSUIDEFFXXX
52420300,SHINHAN BANK EUROPE,Frankfurt am Main,SHBKDEFFXXX
52420600,Piraeus Bank Frankfurt Branch,Frankfurt am Main,ABGRDEFFXXX
52420700,SECB Swiss Euro Clearing Bank,Frankfurt am Main,SECGDEFFXXX
52430000,Credit Mutuel - BECM - Ndl Deutschland,Frankfurt am Main,CMCIDEF1XXX
53040012,Commerzbank,Fulda,COBADEFFXXX
53050180,Sparkasse Fulda,Fulda,HELADEF1FDS
53051396,Kreissparkasse Schlüchtern,Schlüchtern,HELADEF1SLU
53060180,VR Genossenschaftsbank Fulda,Fulda,GENODE51FUL
53061230,VR-Bank NordRhön,Hünfeld,GENODEF1HUE
53061313,VR Bank Schlüchtern-Birstein,Schlüchtern,GENODE51SLU
53062035,Raiffeisenbank,Großenlüder,GENODEF1GLU
53062350,Raiffeisenbank Biebergrund-Petersberg,Petersberg,GENODEF1PBG
53064023,Raiffeisenbank,Flieden,GENODEF1FLN
53070007,Deutsche Bank,Fulda,DEUTDEFF530
53070024,Deutsche Bank Privat und Geschäftskunden,Fulda,DEUTDEDB530
53080030,Commerzbank vormals Dresdner Bank,Fulda,DRESDEFF530
53093200,VR Bank HessenLand,Alsfeld,GENODE51ALS
53093255,AgrarBank,Alsfeld,GENODE51AGR
53240048,Commerzbank,Bad Hersfeld,COBADEFFXXX
53250000,Sparkasse Bad Hersfeld-Rotenburg,Bad Hersfeld,HELADEF1HER
53260145,Raiffeisenbank Asbach-Sorga,Bad Hersfeld,GENODEF1HFA
53261202,Bankverein Bebra,Bebra,GENODEF1BEB
53261342,Raiffeisenbank Werratal-Landeck,Heringen (Werra),GENODEF1RAW
53262073,Raiffeisenbank Haunetal -alt-,Haunetal,GENODEF1HNT
53262455,Raiffeisenbank Ronshausen-Marksuhl,Ronshausen,GENODEF1ROH
53270012,Deutsche Bank,Bad Hersfeld,DEUTDEFF532
53270024,Deutsche Bank Privat und Geschäftskunden,Bad Hersfeld,DEUTDEDB518
53280081,Commerzbank vormals Dresdner Bank,Bad Hersfeld,DRESDEFF532
53290000,VR-Bank Bad Hersfeld-Rotenburg,Bad Hersfeld,GENODE51BHE
53340024,Commerzbank,Marburg,COBADEFFXXX
53350000,Sparkasse Marburg-Biedenkopf,Marburg,HELADEF1MAR
53361724,Raiffeisenbank,Ebsdorfergrund,GENODEF1EBG
53370008,Deutsche Bank,Marburg,DEUTDEFF533
53370024,Deutsche Bank Privat und Geschäftskunden,Marburg,DEUTDEDB533
53380042,Commerzbank vormals Dresdner Bank,Marburg,DRESDEFF533
53381843,Commerzbank vormals Dresdner Bank,Stadtallendorf,DRESDEFF568
53390635,apoBank,Gießen,DAAEDED1035
54020090,UniCredit Bank - HypoVereinsbank,Kaiserslautern,HYVEDEMM482
54030011,Service Credit Union Overseas Headquarters,Kaiserslautern,SCRUDE51XXX
54040042,Commerzbank,Kaiserslautern,COBADEFFXXX
54050110,Stadtsparkasse Kaiserslautern,Kaiserslautern,MALADE51KLS
54050220,Kreissparkasse Kaiserslautern,Kaiserslautern,MALADE51KLK
54051550,Kreissparkasse Kusel,Kusel,MALADE51KUS
54051660,Stadtsparkasse Landstuhl -alt-,Landstuhl,MALADE51LAS
54051990,Sparkasse Donnersberg,Rockenhausen,MALADE51ROK
54061650,VR-Bank Westpfalz,Landstuhl,GENODE61LAN
54062027,Raiffeisenbank Donnersberg -alt-,Albisheim (Pfrimm),GENODE61ALB
54070024,Deutsche Bank Privat und Geschäftskunden,Kaiserslautern,DEUTDEDB540
54070092,Deutsche Bank,Kaiserslautern,DEUTDESM540
54080021,Commerzbank vormals Dresdner Bank,Kaiserslautern,DRESDEFF540
54090000,Volksbank Kaiserslautern-Nordwestpfalz,Kaiserslautern,GENODE61KL1
54091700,Volksbank Lauterecken,Lauterecken,GENODE61LEK
54091800,VR Bank Nordwestpfalz -alt-,Rockenhausen,GENODE61OB1
54092400,Volksbank Glan-Münchweiler,Glan-Münchweiler,GENODE61GLM
54210111,SEB,Pirmasens,ESSEDE5F542
54220091,UniCredit Bank - HypoVereinsbank,Pirmasens,HYVEDEMM485
54240032,Commerzbank,Pirmasens,COBADEFFXXX
54250010,Sparkasse Südwestpfalz,Pirmasens,MALADE51SWP
54261700,VR-Bank Südwestpfalz,Zweibrücken,GENODE61ROA
54270024,Deutsche Bank Privat und Geschäftskunden,Pirmasens,DEUTDEDB542
54270096,Deutsche Bank,Pirmasens,DEUTDESM542
54280023,Commerzbank vormals Dresdner Bank,Pirmasens,DRESDEFF542
54290000,VR-Bank Pirmasens,Pirmasens,GENODE61PS1
54291200,Raiffeisen- u Volksbank Dahn,Dahn,GENODE61DAH
54500000,Bundesbank,Ludwigshafen am Rhein,MARKDEF1545
54510067,Postbank,Ludwigshafen am Rhein,PBNKDEFFXXX
54520194,UniCredit Bank - HypoVereinsbank,Ludwigshafen am Rhein,HYVEDEMM483
54540033,Commerzbank,Ludwigshafen am Rhein,COBADEFFXXX
54550010,Sparkasse Vorderpfalz,Ludwigshafen am Rhein,LUHSDE6AXXX
54550120,Kreissparkasse Rhein-Pfalz,Ludwigshafen am Rhein,MALADE51LUH
54561310,RV Bank Rhein-Haardt,Lambsheim,GENODE61LBS
54570024,Deutsche Bank Privat und Geschäftskunden,Ludwigshafen am Rhein,DEUTDEDB545
54570094,Deutsche Bank,Ludwigshafen am Rhein,DEUTDESM545
54580020,Commerzbank vormals Dresdner Bank,Ludwigshafen am Rhein,DRESDEFF545
54620093,UniCredit Bank - HypoVereinsbank,Neustadt an der Weinstraße,HYVEDEMM620
54640035,Commerzbank,Neustadt an der Weinstraße,COBADEFFXXX
54651240,Sparkasse Rhein-Haardt,Bad Dürkheim,MALADE51DKH
54661800,Raiffeisenbank Freinsheim,Freinsheim,GENODE61FSH
54663270,Raiffeisenbank Friedelsheim-Rödersheim,Friedelsheim,GENODE61FHR
54670024,Deutsche Bank Privat und Geschäftskunden,Neustadt an der Weinstraße,DEUTDEDB546
54670095,Deutsche Bank,Neustadt an der Weinstraße,DEUTDESM546
54680022,Commerzbank vormals Dresdner Bank,Neustadt an der Weinstraße,DRESDEFF546
54690623,apoBank,Neustadt an der Weinstraße,DAAEDED1023
54691200,VR Bank Mittelhaardt,Bad Dürkheim,GENODE61DUW
54750010,Kreis- und Stadtsparkasse Speyer,Speyer,MALADE51SPY
54790000,Volksbank Kur- und Rheinpfalz,Speyer,GENODE61SPE
54850010,Sparkasse Südliche Weinstraße in Landau,Landau in der Pfalz,SOLADES1SUW
54851440,Sparkasse Germersheim-Kandel,Kandel,MALADE51KAD
54861190,Raiffeisenbank Oberhaardt-Gäu -alt-,Edesheim,GENODE61EDH
54862390,Raiffeisenbank,Herxheim,GENODE61HXH
54862500,VR Bank Südpfalz,Landau in der Pfalz,GENODE61SUW
54891300,VR Bank Südliche Weinstraße,Bad Bergzabern,GENODE61BZA
55000000,Bundesbank,Mainz,MARKDEF1550
55010111,SEB,Mainz,ESSEDE5F550
55010400,Aareal Bank GF - BK01 -,Wiesbaden,AARBDE5WDOM
55010424,Aareal Bank,Mainz,AARBDE5W550
55010625,Aareal Bank Clearing Wiesbaden,Wiesbaden,AARBDE5WCLE
55010800,Investitions- und Strukturbank RP,Mainz,ISBRDE55XXX
55020000,BHF-BANK,Mainz,BHFBDEFF550
55020100,Bausparkasse Mainz,Mainz,BKMZDE51XXX
55020486,UniCredit Bank - HypoVereinsbank,Mainz,HYVEDEMM486
55020500,Bank für Sozialwirtschaft,Mainz,BFSWDE33MNZ
55020555,Bank für Sozialwirtschaft,Mainz,BFSWDE33M55
55020600,Westdeutsche Immobilienbank,Mainz,IMMODE5MXXX
55020700,Süd-West-Kreditbank Finanzierung,Bingen am Rhein,SUFGDE51XXX
55030500,GE Capital Bank,Mainz,CPLADE55XXX
55030533,GE Capital Direkt,Mainz,CPDIDE51XXX
55033300,Santander Consumer Bank,Mainz,SCFBDE33XXX
55040022,Commerzbank,Mainz,COBADEFFXXX
55040060,Commerzbank CC,Mainz,COBADEFFXXX
55040061,Commerzbank CC,Mainz,COBADEFFXXX
55050000,ZV Landesbank Baden-Württemberg,Mainz,SOLADEST550
55050120,Sparkasse Mainz,Mainz,MALADE51MNZ
55060321,VR-Bank Mainz -alt-,Mainz,GENODE51MZ4
55060417,VR-Bank Mainz -alt-,Mainz,GENODE51MZ2
55060611,Genobank Mainz,Mainz,GENODE51MZ6
55060831,apoBank,Mainz,DAAEDED1031
55061303,Budenheimer Volksbank,Budenheim,GENODE51BUD
55061507,VR-Bank Mainz -alt-,Mainz,GENODE51HDS
55061907,Volksbank Rhein-Selz -alt-,Nierstein,GENODE51NIS
55070024,Deutsche Bank Privat und Geschäftskunden,Mainz,DEUTDEDBMAI
55070040,Deutsche Bank,Mainz,DEUTDE5MXXX
55080044,Commerzbank, TF MZ 1,Mainz,COBADEFFXXX
55080065,Commerzbank vormals Dresdner Bank,Mainz,DRESDEFF550
55080085,Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 1,Mainz,DRESDEFFJ20
55080086,Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 2,Mainz,DRESDEFFJ21
55080088,Commerzbank, TF MZ 2,Mainz,DRESDEFF555
55090500,Sparda-Bank Südwest,Mainz,GENODEF1S01
55091200,Volksbank Alzey-Worms,Worms,GENODE61AZY
55150098,Clearingkonto LRP-SI,Mainz,MALADE51EMZ
55160195,Pax-Bank,Mainz,GENODED1PA4
55190000,Mainzer Volksbank,Mainz,MVBMDE55XXX
55190028,Mainzer Volksbank -alt-,Bingen am Rhein,MVBMDE51028
55190050,Mainzer Volksbank -alt-,Oppenheim,MVBMDE51050
55190064,Mainzer Volksbank -alt-,Hochheim am Main,MVBMDE51064
55190065,Mainzer Volksbank -alt-,Ingelheim am Rhein,MVBMDE51065
55190068,Mainzer Volksbank -alt-,Nieder-Olm,MVBMDE51068
55190088,Mainzer Volksbank -alt-,Sprendlingen,MVBMDE51088
55190094,Mainzer Volksbank -alt-,Saulheim,MVBMDE51094
55340041,Commerzbank,Worms,COBADEFFXXX
55350010,Sparkasse Worms-Alzey-Ried,Worms,MALADE51WOR
55361202,VR Bank,Alsheim,GENODE51AHM
55362071,Volksbank Bechtheim -alt-,Bechtheim,GENODE51BEC
55390000,Volksbank Worms-Wonnegau -alt-,Worms,GENODE61WO1
56020086,UniCredit Bank - HypoVereinsbank,Bad Kreuznach,HYVEDEMM515
56050180,Sparkasse Rhein-Nahe,Bad Kreuznach,MALADE51KRE
56051790,Kreissparkasse Rhein-Hunsrück,Simmern,MALADE51SIM
56061151,Raiffeisenbank Kastellaun,Kastellaun,GENODED1KSL
56061472,Volksbank Hunsrück-Nahe,Simmern,GENODED1KHK
56062227,Volksbank Rheinböllen,Rheinböllen,GENODED1RBO
56070024,Deutsche Bank Privat und Geschäftskunden,Bad Kreuznach,DEUTDEDB560
56070040,Deutsche Bank,Bad Kreuznach,DEUTDE5M560
56090000,Volksbank Rhein-Nahe-Hunsrück,Bad Kreuznach,GENODE51KRE
56240050,Commerzbank,Idar-Oberstein,COBADEFFXXX
56250030,Kreissparkasse Birkenfeld,Idar-Oberstein,BILADE55XXX
56261735,Raiffeisenbank Nahe,Fischbach,GENODED1FIN
56270024,Deutsche Bank Privat und Geschäftskunden,Idar-Oberstein,DEUTDEDB562
56270044,Deutsche Bank,Idar-Oberstein,DEUTDE5M562
56290000,Volksbank-Raiffeisenbank Naheland -alt-,Idar-Oberstein,GENODE51IDO
57000000,Bundesbank,Koblenz,MARKDEF1570
57010111,SEB,Koblenz,ESSEDE5F570
57020086,UniCredit Bank - HypoVereinsbank,Koblenz,HYVEDEMM401
57020301,MKB Mittelrheinische Bank,Koblenz,MKBKDE51XXX
57020500,Oyak Anker Bank,Frankfurt am Main,OYAKDE5KXXX
57020600,Debeka Bausparkasse,Koblenz,DEBKDE51XXX
57040044,Commerzbank,Koblenz,COBADEFFXXX
57050120,Sparkasse Koblenz,Koblenz,MALADE51KOB
57051001,Kreissparkasse Westerwald -alt-,Montabaur,MALADE51BMB
57051870,Kreissparkasse Cochem-Zell -alt-,Cochem,MALADE51COC
57060000,WGZ Bank,Koblenz,GENODEDD570
57060612,apoBank,Koblenz,DAAEDED1012
57062675,Raiffeisenbank,Niederwallmenach,GENODE51NWA
57063478,Volksbank Vallendar-Niederwerth,Vallendar,GENODED1VAN
57064221,Volksbank Mülheim-Kärlich,Mülheim-Kärlich,GENODED1MKA
57069067,Raiffeisenbank Lutzerather Höhe -alt-,Lutzerath,GENODED1LUH
57069081,Raiffeisenbank Moselkrampen,Ernst,GENODED1MOK
57069144,Raiffeisenbank Eifeltor,Kaisersesch,GENODED1KAI
57069238,Raiffeisenbank Neustadt,Neustadt (Wied),GENODED1ASN
57069257,Raiffeisenbank Untermosel,Treis-Karden,GENODED1UMO
57069315,Raiffeisenbank Straßenhaus -alt-,Straßenhaus,GENODED1SRH
57069361,Raiffeisenbank Welling,Welling,GENODED1WLG
57069727,Raiffeisenbank Irrel,Irrel,GENODED1IRR
57069806,VR-Bank Hunsrück-Mosel,Morbach,GENODED1MBA
57070024,Deutsche Bank Privat und Geschäftskunden,Koblenz,DEUTDEDB570
57070045,Deutsche Bank,Koblenz,DEUTDE5M570
57080070,Commerzbank vormals Dresdner Bank,Koblenz,DRESDEFF570
57090000,Volksbank Koblenz Mittelrhein,Koblenz,GENODE51KOB
57090900,PSD Bank Koblenz,Koblenz,GENODEF1P12
57091000,Volksbank Montabaur-Höhr-Grenzhausen,Montabaur,GENODE51MON
57091100,Volksbank Höhr-Grenzhausen -alt-,Höhr-Grenzhausen,GENODE51HGR
57092800,Volksbank Rhein-Lahn,Diez,GENODE51DIE
57263015,Raiffeisenbank Unterwesterwald,Arzbach,GENODE51ARZ
57351030,Sparkasse Westerwald-Sieg,Bad Marienberg (Westerwald),MALADE51AKI
57361476,Volksbank Gebhardshain,Gebhardshain,GENODED1GBS
57363243,Raiffeisenbank Niederfischbach -alt-,Niederfischbach,GENODED1NFB
57391200,Volksbank Daaden,Daaden,GENODE51DAA
57391500,Volksbank Hamm, Sieg,Hamm (Sieg),GENODE51HAM
57391800,Westerwald Bank,Hachenburg,GENODE51WW1
57450120,Sparkasse Neuwied,Neuwied,MALADE51NWD
57460117,Volks- und Raiffeisenbank Neuwied-Linz,Neuwied,GENODED1NWD
57461759,Raiffeisenbank Mittelrhein,Weißenthurm,GENODED1MRW
57470024,Deutsche Bank Privat und Geschäftskunden,Neuwied,DEUTDEDB574
57470047,Deutsche Bank,Neuwied,DEUTDE5M574
57650010,Kreissparkasse Mayen,Mayen,MALADE51MYN
57661253,Raiffeisenbank,Kehrig,GENODED1KEH
57662263,VR Bank Rhein-Mosel,Ochtendung,GENODED1MPO
57751310,Kreissparkasse Ahrweiler,Bad Neuenahr-Ahrweiler,MALADE51AHR
57761591,Volksbank RheinAhrEifel,Bad Neuenahr-Ahrweiler,GENODED1BNA
57762265,Raiffeisenbank Grafschaft-Wachtberg,Grafschaft,GENODED1GRO
58510111,SEB,Trier,ESSEDE5F585
58520086,UniCredit Bank - HypoVereinsbank,Trier,HYVEDEMM437
58540035,Commerzbank,Trier,COBADEFFXXX
58550130,Sparkasse Trier,Trier,TRISDE55XXX
58560103,Volksbank Trier,Trier,GENODED1TVB
58560294,Pax-Bank,Trier,GENODED1PA3
58561250,Volksbank Hermeskeil -alt-,Hermeskeil,GENODED1HER
58561626,Volksbank Saarburg -alt-,Saarburg,GENODED1SRB
58561771,Raiffeisenbank Mehring-Leiwen,Leiwen,GENODED1MLW
58564788,Volksbank Hochwald-Saarburg -alt-,Saarburg,GENODED1HWM
58570024,Deutsche Bank Privat und Geschäftskunden,Trier,DEUTDEDB585
58570048,Deutsche Bank,Trier,DEUTDE5M585
58580074,Commerzbank vormals Dresdner Bank,Trier,DRESDEFF585
58590900,PSD Bank Trier Ndl der PSD Bank Köln,Trier,GENODEF1P21
58650030,Kreissparkasse Bitburg-Prüm,Bitburg,MALADE51BIT
58651240,Kreissparkasse Vulkaneifel,Daun,MALADE51DAU
58660101,Volksbank Bitburg,Bitburg,GENODED1BIT
58661901,Raiffeisenbank Westeifel,Arzfeld,GENODED1WSC
58662653,Raiffeisenbank östl Südeifel,Dudeldorf,GENODED1OSE
58668818,Raiffeisenbank Neuerburg-Land -alt-,Neuerburg,GENODED1NBL
58691500,Volksbank Eifel Mitte,Prüm,GENODED1PRU
58751230,Sparkasse Mittelmosel-Eifel Mosel Hunsrück,Bernkastel-Kues,MALADE51BKS
58760954,Vereinigte Volksbank Raiffeisenbank,Wittlich,GENODED1WTL
58761343,Raiffeisenbank Zeller Land,Briedel,GENODED1BPU
58771224,Deutsche Bank Privat und Geschäftskunden,Bernkastel-Kues,DEUTDEDB587
58771242,Deutsche Bank,Bernkastel-Kues,DEUTDE5M587
59000000,Bundesbank,Saarbrücken,MARKDEF1590
59010011,ZVC Postbank Gf FK 11,St. Ingbert,PBNKDEFFXXX
59010012,ZVC Postbank Gf FK 12,Neunkirchen,PBNKDEFFXXX
59010013,ZVC Postbank Gf FK 13,Dillingen,PBNKDEFFXXX
59010014,ZVC Postbank Gf FK 14,Völklingen,PBNKDEFFXXX
59010015,ZVC Postbank Gf FK 15,Horb am Neckar,PBNKDEFFXXX
59010016,ZVC Postbank Gf FK 16,Bruchsal,PBNKDEFFXXX
59010017,ZVC Postbank Gf FK 17,Berlin,PBNKDEFFXXX
59010018,ZVC Postbank Gf FK 18,Wedel,PBNKDEFFXXX
59010019,ZVC Postbank Gf FK 19,Ipsheim,PBNKDEFFXXX
59010020,ZVC Postbank GF FK 20,Rellingen,PBNKDEFFXXX
59010021,ZVC Postbank GF FK 21,Nauen,PBNKDEFFXXX
59010022,ZVC Postbank GF FK 22,Rahden,PBNKDEFFXXX
59010023,ZVC Postbank GF FK 23,Dorsten,PBNKDEFFXXX
59010024,ZVC Postbank GF FK 24,Brühl,PBNKDEFFXXX
59010025,ZVC Postbank GF FK 25,Mengen,PBNKDEFFXXX
59010026,ZVC Postbank GF FK 26,Kaufbeuren,PBNKDEFFXXX
59010027,ZVC Postbank Gf FK 27,Pinneberg,PBNKDEFFXXX
59010028,ZVC Postbank Gf FK 28,Alzey,PBNKDEFFXXX
59010029,ZVC Postbank Gf FK 29,Bad Vilbel,PBNKDEFFXXX
59010031,ZVC Postbank Gf FK 31,Bretten,PBNKDEFFXXX
59010032,ZVC Postbank Gf FK 32,Wilster,PBNKDEFFXXX
59010033,ZVC Postbank Gf FK 33,Garding,PBNKDEFFXXX
59010034,ZVC Postbank Gf FK 34,Soltau,PBNKDEFFXXX
59010035,ZVC Postbank Gf FK 35,Delmenhorst,PBNKDEFFXXX
59010036,ZVC Postbank Gf FK 36,Cham,PBNKDEFFXXX
59010037,ZVC Postbank Gf FK 37,Geretsried,PBNKDEFFXXX
59010038,ZVC Postbank Gf FK 38,Aichach,PBNKDEFFXXX
59010039,ZVC Postbank Gf FK 39,Ditzingen,PBNKDEFFXXX
59010040,ZVC Postbank Gf FK 40,Leonberg,PBNKDEFFXXX
59010041,ZVC Postbank Gf FK 41,Germersheim,PBNKDEFFXXX
59010042,ZVC Postbank Gf FK 42,Rhens,PBNKDEFFXXX
59010044,ZVC Postbank Gf FK 44,Obertshausen,PBNKDEFFXXX
59010045,ZVC Postbank Gf FK 45,Maintal,PBNKDEFFXXX
59010047,ZVC Postbank Gf FK 47,Pulheim,PBNKDEFFXXX
59010048,ZVC Postbank Gf FK 48,Frechen,PBNKDEFFXXX
59010049,ZVC Postbank Gf FK 49,Brakel,PBNKDEFFXXX
59010066,Postbank,Saarbrücken,PBNKDEFFXXX
59010111,SEB,Saarbrücken,ESSEDE5F590
59010400,Saarl Investitionskreditbank,Saarbrücken,SIKBDE55XXX
59020090,UniCredit Bank - HypoVereinsbank,Saarbrücken,HYVEDEMM432
59040000,Commerzbank,Saarbrücken,COBADEFFXXX
59050000,Landesbank Saar,Saarbrücken,SALADE55XXX
59050101,Sparkasse Saarbrücken,Saarbrücken,SAKSDE55XXX
59051090,Stadtsparkasse Völklingen,Völklingen,SALADE51VKS
59052020,SKG BANK Niederlassung der Deutsche Kreditbank,Saarbrücken,SALADE51SKG
59070000,Deutsche Bank Saarbruecken,Saarbrücken,DEUTDE5M555
59070070,Deutsche Bank Privat und Geschäftskunden,Saarbrücken,DEUTDEDB595
59080090,Commerzbank vormals Dresdner Bank,Saarbrücken,DRESDEFF590
59090626,apoBank,Saarbrücken,DAAEDED1026
59090900,PSD Bank RheinNeckarSaar,Saarbrücken,GENODEF1P19
59091500,Volksbank Sulzbachtal -alt-,Sulzbach,GENODE51SUZ
59091800,Volksbank Quierschied -alt-,Quierschied,GENODE51QUI
59092000,Vereinigte Volksbank Dillingen Dudweiler Sulzbach/Saar,Sulzbach,GENODE51SB2
59099530,Raiffeisenkasse Wiesbach -alt-,Eppelborn,GENODE51EWI
59099550,Volksbank Nahe-Schaumberg -alt-,Nohfelden,GENODE51NOH
59190000,Bank 1 Saar,Saarbrücken,SABADE5SXXX
59190200,Volksbank Westliche Saar plus,Saarlouis,GENODE51SLS
59251020,Kreissparkasse St. Wendel,St. Wendel,SALADE51WND
59252046,Sparkasse Neunkirchen,Neunkirchen,SALADE51NKS
59291000,Unsere Volksbank St. Wendeler Land,St. Wendel,GENODE51WEN
59291200,Volks- und Raiffeisenbank Saarpfalz,Homburg,GENODE51BEX
59292400,Eppelborner Volksbank -alt-,Eppelborn,GENODE51EPP
59320087,UniCredit Bank - HypoVereinsbank,Saarlouis,HYVEDEMM838
59350110,Kreissparkasse Saarlouis,Saarlouis,KRSADE55XXX
59351040,Sparkasse Merzig-Wadern,Merzig,MERZDE55XXX
59390100,Volksbank Saarlouis -alt-,Saarlouis,GENODE51SLF
59391200,Volksbank Überherrn,Überherrn,GENODE51UBH
59392000,Volksbank Dillingen -alt-,Dillingen,GENODE51DSA
59392200,Volksbank Untere Saar,Losheim am See,GENODE51LOS
59393000,levoBank,Lebach,GENODE51LEB
59450010,Kreissparkasse Saarpfalz,Homburg,SALADE51HOM
59491300,VR Bank Saarpfalz -alt-,Homburg,GENODE51MBT
60000000,Bundesbank,Stuttgart,MARKDEF1600
60010070,Postbank,Stuttgart,PBNKDEFFXXX
60010111,SEB,Stuttgart,ESSEDE5F600
60010424,Aareal Bank,Stuttgart,AARBDE5W600
60010700,Landeskreditbank Baden-Württemberg Förderbank -alt-,Karlsruhe,LKBWDE6K600
60020030,Baden-Württembergische Bank,Stuttgart,SOLADEST601
60020100,Schwäbische Bank,Stuttgart,SCHWDESSXXX
60020290,UniCredit Bank - HypoVereinsbank,Stuttgart,HYVEDEMM473
60020300,VON ESSEN Bankgesellschaft,Stuttgart,VONEDE33STG
60030000,Mercedes-Benz Bank,Stuttgart,MEBEDE6SDCB
60030100,Bankhaus Bauer, Stuttgart,Stuttgart,BHBADES1XXX
60030200,Bankhaus Ellwanger & Geiger,Stuttgart,ELGEDES1XXX
60030600,CreditPlus Bank,Stuttgart,CPLUDES1XXX
60030666,CreditPlus Bank,Stuttgart,CPLUDES1666
60030700,AKTIVBANK,Pforzheim,AKBADES1XXX
60030900,Isbank Fil Stuttgart,Stuttgart,ISBKDEFXSTU
60031000,TRUMPF Financial Services,Ditzingen,TRUFDE66XXX
60033000,Wüstenrot Bausparkasse,Ludwigsburg,BSWLDE61XXX
60035810,IBM Deutschland Kreditbank,Ehningen,IBKBDES1XXX
60040060,Commerzbank CC,Stuttgart,COBADEFFXXX
60040061,Commerzbank CC,Stuttgart,COBADEFFXXX
60040071,Commerzbank,Stuttgart,COBADEFFXXX
60050000,Landesbank Baden-Württemberg,Stuttgart,SOLADESTXXX
