"09/118","sewikom GmbH"
"09/123","RMS-systems Datenverarbeitungs GmbH"
"09/125","Drahtlos DSL GmbH Mittelsachsen"
"09/132","net-and-phone GmbH"
"09/148","LWLcom GmbH"
"09/172","W M B Kabelservice GmbH"
"09/174","Voiceworks GmbH"
"09/175","Felkatec Software GmbH & Co. KG"
"09/182","purpur Networks GmbH"
"09/193","tkrz Stadtwerke GmbH"
"09/216","amplus AG"
"09/222","Ilm-Provider UG (haftungsbeschränkt)"
"09/258","Marienberg GmbH"
"09/261","TECOSI ATF GmbH"
"09/268","Innofactory GmbH"
"09/276","Breitbandservice Gantert GmbH & Co.KG"
"09/289","RK² Systemintegration GmbH"
"09/296","Thüga SmartService GmbH"
"09/311","DCC GmbH"
"09/318","Unser Ortsnetz GmbH"
"09/320","Moderne Kommunikationstechnologie Hohentengen GmbH"
"09/324","e.wa riss Netze GmbH"
"09/326","Mass Response Deutschland GmbH"
"10/006","schnell-im-netz.de GmbH & Co.KG"
"10/013","ENNI Energie & Umwelt Niederrhein GmbH"
"10/029","D&T Internet GmbH"
"10/054","Schleusinger Media Service GmbH"
"10/060","HessenKom GmbH & Co KG"
"10/061","Project66 IT-Service & Design Niels Rosenhahn"
"10/081","KSP-Kabelservice Prenzlau GmbH"
"10/094","Filiago GmbH & Co. KG"
"10/120","newone GmbH"
"10/131","TKN Deutschland GmbH"
"10/133","Hofmeir Media GmbH"
"10/141","PFALZconnect GmbH"
"10/161","DSI GmbH Daten Service Informationssysteme"
"10/181","vio:networks GmbH"
"10/190","Wittenberg-net GmbH"
"10/196","Dhom & Johannsen GbR"
"10/213","inopla GmbH"
"10/217","GP-Elektronik e.K."
"10/240","COLT Technology Services GmbH"
"10/251","A+U Baumann oHG"
"10/253","Wichmann Internet Services GmbH"
"10/257","TELE AG"
"10/283","HNS GmbH"
"10/305","Stadtwerke Konstanz GmbH"
"10/314","Stern Kom GmbH"
"10/323","Stadtwerke Itzehoe GmbH"
"10/329","epcan GmbH"
"10/330","Gemeinschaftsantenne Struth-Helmersdorf und Floh-Seligenthal OT Schnellbach e.V."
"10/334","smart-DSL GmbH"
"10/339","encoLine GmbH"
"10/350","AnWaDi.de"
"10/351","Martin Prager, NbIServ"
"10/360","Marco Bungalski GmbH"
"10/399","OpenNumbers GmbH"
"11/004","nexiu GmbH"
"11/013","matelso GmbH"
"11/014","D-Connect GmbH"
"11/043","Multiconnect GmbH"
"11/048","PHILIS IT"
"11/057","DATA CMR GmbH & Co. KG"
"11/063","MUENET GmbH"
"11/086","DSLmobil GmbH"
"11/093","tel.quick GmbH & Co. KG"
"11/094","Tele System GmbH Rostock"
"11/095","d+p breitbandconcept UG"
"11/097","IN-telegence GmbH"
"11/113","INCAS GmbH"
"11/124","Vereinigte Stadtwerke Media GmbH"
"11/131","telsakom GmbH"
"11/145","PIRONET NDH Datacenter AG & Co. KG"
"11/146","Globalways AG"
"11/152","Elektrizitätswerk Goldbach-Hösbach GmbH & Co. KG"
"11/153","innogy TelNet GmbH"
"11/172","CEMI Service GmbH"
"11/174","Truphone GmbH"
"11/176","pinnau.com GmbH & Co. KG"
"11/183","Stadtwerke Hammelburg GmbH"
"11/195","Snellstar GmbH"
"11/212","Stadtwerke Barmstedt Xtra GmbH"
"11/213","GWHtel Gmbh & Co.KG"
"11/224","vitroconnect GmbH"
"11/247","Breitband Hoyerswerda GmbH"
"11/268","dng IT GmbH & Co. KG"
"11/298","Martens Deutsche Telekabel GmbH"
"11/305","Sipgate GmbH"
"11/307","Stadtwerke Eckernförde GmbH"
