"D322","CARRIER-SERVICES.de GmbH"
"D323","ecotel communication ag"
"D326","Naka AG"
"D327","Talk.to FZC"
"D328","WOBCOM GmbH Wolfsburg für Telekommunikation und Dienstleistungen"
"D329","TelcoVillage GmbH"
"D330","willy tel GmbH"
"D331","willy tel GmbH"
"D333","Mobiquithings, Hagelsbergstraße 10"
"D334","süc // dacor GmbH"
"D335","Twilio Ireland Ltd."
"D336","ITS AG"
"D337","Tismi BV"
"D338","Sunak, Oktay e.K., ST-Technologie"
"D339","CarDeluxe GmbH & Co.KG"
"D340","MCN Telekommunikacios Szolgaltato Kortlatolt Felelösegü Tarsasag"
"D341","TeleForte Telekommunikations AG"
"D342","CALLAX Holding GmbH"
"D343","Callax Telecom Services GmbH"
"D344","Callax Telecom Services GmbH"
"D345","Callax Telecom Services GmbH"
"D346","Callax Telecom Services GmbH"
"D347","Callax Telecom Services GmbH"
"D348","Callax Telecom Services GmbH"
"D349","Callax Telecom Services GmbH"
"D350","Callax Telecom Services GmbH"
"D351","Callax Telecom Services GmbH"
"D352","Callax Telecom Services GmbH"
"D353","BITel Gesellschaft für Telekommunikation mbH"
"D354","Linea Service GmbH"
"D355","Thüringer Netkom GmbH"
"D356","Mango Office GmbH"
"D358","Matelso GmbH"
"D359","PLANinterNET VoIP-GmbH"
"D360","MPA NET Gesellschaft für Telekommunikation mbH"
"D363","PLANinterNET VoIP-GmbH"
"D364","Nexiu GmbH"
"D365","HeLi NET Telekommunikation GmbH & Co. KG"
"D366","Viatel Deutschland GmbH"
"D367","schnell-im-netz.de GmbH & Co. KG"
"D368","PFALZKOM GmbH"
"D369","TELE AG"
"D370","multiConnect GmbH"
"D371","SOCO Network Solutions GmbH"
"D373","Axxess Solutions GmbH"
"D374","Axxess Solutions GmbH"
"D375","Net-Spacy IT-Services GmbH"
"D376","Viatel Global Services Deutschland GmbH"
"D377","Rottleb, Kai -KNT Internet-"
"D378","Dolphin IT-Systeme e.K."
"D379","sdt.net AG"
